_id,order_id,customer_id,product,category,quantity,price,order_date
75,2716,792,607,4,2,197,105
76,3162,864,930,0,4,137,133
77,27,794,48,3,4,210,143
78,2846,960,508,2,3,136,162
79,4107,378,447,1,4,266,163
80,2070,259,284,1,3,173,20
81,1701,231,396,1,4,44,94
82,3743,41,536,0,1,203,273
83,3405,981,712,1,4,200,226
84,4821,14,720,4,3,113,68
85,3207,219,210,6,3,32,18
86,270,817,700,0,2,274,344
87,259,59,262,3,1,299,257
88,3515,853,320,6,4,439,38
89,4917,3,576,6,2,471,260
90,4666,604,64,0,4,393,161
91,2229,419,236,4,4,269,79
92,1328,685,708,2,2,423,115
93,3350,15,547,1,2,488,110
94,3154,37,653,1,2,367,266
95,2507,257,697,1,2,84,170
96,3604,637,1,2,2,364,18
97,3554,177,718,0,4,81,319
98,1427,610,500,5,2,268,129
99,1927,947,15,4,1,407,118
100,2178,890,324,0,3,197,128
101,1873,953,711,3,2,470,165
102,2449,289,739,6,2,182,187
103,4126,600,853,6,4,489,286
104,2999,410,676,2,2,299,215
105,630,485,291,5,2,54,276
106,2301,955,947,5,2,70,124
107,3069,154,698,3,4,92,298
108,4603,278,921,2,2,132,39
109,831,156,767,5,3,367,168
110,517,257,603,0,4,25,127
111,1745,922,133,1,3,75,321
112,2944,415,90,3,4,433,316
113,12,95,638,1,2,154,170
114,3837,389,963,3,3,384,261
115,3555,632,865,4,4,171,2
116,2859,228,326,4,1,243,219
117,4018,182,501,2,2,389,146
118,2667,116,171,5,4,153,35
119,3064,552,853,6,1,367,57
120,601,148,682,6,4,197,11
121,2069,414,599,1,1,331,55
122,745,931,116,5,2,459,46
123,498,509,84,4,3,483,48
124,4409,383,198,1,1,22,14
125,972,303,313,0,4,193,337
126,2017,892,172,2,2,120,41
127,1525,698,703,6,1,424,91
128,2360,719,602,5,4,299,266
129,4976,549,146,6,4,304,179
130,364,386,355,3,4,460,57
131,3076,976,770,3,1,401,216
132,4540,701,755,1,1,224,211
133,1299,644,385,3,1,471,167
134,202,338,496,3,3,129,224
135,4056,556,96,4,1,391,331
136,2265,550,494,2,1,64,71
137,1231,930,389,3,1,36,63
138,4623,299,923,3,3,127,338
139,4482,969,678,6,1,230,199
140,1681,416,434,5,4,240,67
141,4053,287,953,1,1,62,129
142,4125,531,378,4,4,304,199
143,45,146,686,0,4,330,138
144,1174,430,646,0,4,410,293
145,3506,689,198,1,3,242,160
146,4109,777,925,6,3,167,15
147,4340,62,664,5,3,446,1
148,551,229,645,5,1,278,69
149,3752,465,858,0,4,30,216
150,3999,655,853,5,3,412,210
151,4560,737,871,3,3,62,356
152,2022,735,338,0,1,284,23
153,4694,69,342,1,3,322,201
154,4008,869,36,1,1,290,181
155,58,190,210,1,2,223,7
156,4938,881,193,2,3,40,295
157,2668,464,442,4,2,346,110
158,1850,838,935,3,1,192,14
159,924,268,792,4,4,32,199
160,4803,949,600,3,3,41,312
161,4925,42,675,1,1,455,188
162,3290,666,714,2,4,83,192
163,2040,576,118,6,4,19,290
164,637,29,403,2,2,493,287
165,1116,345,896,1,1,465,195
166,726,512,472,4,4,63,167
167,1915,794,226,5,3,61,163
168,78,509,93,1,3,157,220
169,508,680,889,0,2,169,218
170,883,317,78,6,4,379,183
171,3686,181,668,6,1,23,301
172,918,658,14,0,3,187,0
173,2898,613,885,0,4,421,113
174,2714,819,670,0,4,375,350
175,162,253,120,3,2,62,32
176,353,239,341,4,3,417,8
177,4289,262,908,0,3,344,102
178,1914,353,116,5,1,31,48
179,4448,473,823,0,3,39,52
180,3390,985,516,6,1,200,365
181,1751,728,924,2,3,269,146
182,3240,650,581,3,2,214,44
183,2389,489,711,2,3,68,10
184,4551,137,876,3,1,480,80
185,2854,216,956,5,1,273,180
186,2458,467,123,3,2,475,165
187,4644,489,208,5,3,21,137
188,4506,821,522,1,3,128,12
189,3182,97,651,1,2,424,166
190,66,247,712,3,3,471,204
191,3630,978,276,4,3,299,293
192,4962,751,786,0,1,347,353
193,1955,253,176,0,3,257,315
194,1010,416,368,0,3,363,256
195,4853,686,495,0,2,136,314
196,1250,728,934,2,2,84,177
197,4387,583,479,3,4,370,306
198,2747,86,747,3,1,213,274
199,734,712,88,0,3,58,188
200,862,792,188,2,3,88,79
201,3505,848,370,0,4,450,236
202,3781,304,6,3,3,488,337
203,940,600,814,2,1,250,214
204,3972,564,203,5,4,358,296
205,3451,47,485,4,1,163,272
206,2590,56,937,1,4,283,144
207,2545,16,457,1,4,105,87
208,896,439,701,6,2,223,219
209,4054,704,539,6,1,303,185
210,4959,713,595,0,3,218,307
211,2844,37,511,4,3,352,114
212,1317,334,260,2,1,97,267
213,3195,50,520,4,3,315,319
214,2171,208,534,2,3,273,169
215,2541,292,546,0,1,434,53
216,4465,670,834,6,4,399,59
217,736,949,622,6,1,334,351
218,1314,608,820,4,4,437,11
219,700,842,267,0,3,386,194
220,406,622,719,3,3,329,241
221,2595,546,615,6,3,166,39
222,2426,309,716,3,2,165,362
223,3092,972,351,4,4,148,240
224,2464,945,151,6,2,130,91
225,482,874,22,5,2,74,22
226,2599,810,710,4,1,116,119
227,2680,452,893,1,2,156,78
228,931,793,549,3,1,146,22
229,403,840,517,4,1,420,13
230,3409,309,76,0,2,171,87
231,2713,156,437,1,4,437,134
232,2828,721,265,0,4,461,95
233,3424,262,218,3,4,109,151
234,3149,53,654,5,4,347,46
235,587,622,37,5,4,408,192
236,2753,652,628,1,2,316,253
237,3962,185,469,4,2,150,106
238,1211,50,731,3,3,92,194
239,3669,907,680,5,4,186,186
240,3030,327,73,6,2,207,342
241,4785,197,221,1,3,121,171
242,1611,426,582,2,4,65,200
243,2877,609,922,4,1,469,26
244,4862,889,315,2,3,188,350
245,394,286,726,4,2,430,256
246,628,676,258,6,1,410,214
247,3819,756,515,3,1,195,224
248,3785,16,804,1,1,480,247
249,1803,31,638,0,3,227,134
250,2781,450,469,0,2,422,201
251,485,626,619,3,1,426,96
252,3235,224,273,2,4,325,229
253,1908,258,262,0,1,484,173
254,3007,785,275,1,1,226,199
255,3265,566,922,3,3,129,79
256,4251,593,568,3,3,448,297
257,3228,272,269,6,2,403,355
258,1772,626,407,6,4,184,292
259,1717,287,260,3,3,32,224
260,369,484,460,2,1,222,50
261,1543,136,389,3,2,414,185
262,3114,234,538,5,1,244,53
263,192,455,493,4,1,22,171
264,786,533,823,5,3,110,281
265,2851,373,455,2,2,426,200
266,4077,210,883,2,4,33,207
267,2001,22,2,6,4,373,167
268,4969,369,436,3,3,20,295
269,262,537,555,1,3,282,212
270,2669,44,69,6,2,461,10
271,2523,171,155,0,4,440,164
272,3443,715,683,0,4,290,42
273,3448,200,734,0,4,103,160
274,1703,484,453,5,1,210,222
275,3349,778,927,2,4,30,99
276,3552,544,519,4,1,349,44
277,56,869,254,2,2,476,269
278,3172,657,752,5,1,220,234
279,4632,497,98,0,2,149,28
280,50,400,814,4,4,302,4
281,3878,392,49,4,4,307,204
282,4903,787,145,6,2,410,211
283,98,299,697,3,3,110,152
284,1184,31,203,1,2,313,82
285,4838,185,464,4,3,368,363
286,4147,613,723,3,1,37,60
287,903,205,888,1,1,50,268
288,1684,119,532,0,1,364,258
289,1102,643,827,3,4,312,249
290,3920,961,888,2,1,155,58
291,2678,605,319,2,3,265,206
292,1570,512,867,6,1,471,216
293,4760,337,106,1,2,236,167
294,1910,569,422,3,2,245,343
295,3871,53,564,5,4,370,21
296,4807,348,881,3,2,389,169
297,3911,752,897,5,3,464,3
298,407,580,784,6,1,498,286
299,1957,645,71,4,4,22,247
300,1349,446,828,6,1,219,42
301,2501,724,740,6,1,238,319
302,4684,758,217,4,3,406,262
303,2225,137,387,4,2,109,160
304,3423,575,266,3,2,40,256
305,378,747,25,1,1,395,345
306,4041,195,962,5,4,25,332
307,1865,983,587,3,2,146,251
308,1146,266,441,4,4,338,253
309,3799,195,534,2,2,175,78
310,876,539,427,4,4,468,196
311,644,103,175,1,3,319,176
312,2437,196,837,6,4,449,322
313,4579,901,943,4,3,479,116
314,4988,81,353,0,3,490,146
315,3201,709,126,1,4,109,166
316,3281,386,649,2,3,118,209
317,3922,433,126,5,1,352,243
318,1068,425,311,4,3,182,147
319,367,701,558,1,2,246,123
320,3802,691,780,5,4,171,357
321,3357,341,279,6,1,402,350
322,141,196,408,6,4,225,331
323,4680,17,550,2,2,273,345
324,282,696,661,0,2,272,118
325,3640,764,588,1,2,301,232
326,3932,647,51,6,3,283,325
327,1085,533,365,6,3,12,200
328,4076,129,88,2,4,37,2
329,2201,185,150,2,4,335,154
330,2143,282,148,3,1,437,128
331,2378,587,151,5,1,158,219
332,1891,808,223,3,4,37,236
333,1420,384,900,2,3,497,57
334,303,404,856,1,2,319,158
335,4520,888,873,4,4,447,71
336,3983,150,257,0,1,74,214
337,4199,553,646,6,3,365,66
338,3218,727,773,0,4,30,281
339,1542,150,63,3,4,261,56
340,1936,258,942,4,3,244,79
341,3691,336,536,3,4,236,129
342,2385,839,9,6,3,22,219
343,473,530,10,0,2,322,31
344,2080,932,398,5,3,58,239
345,1669,732,85,6,3,127,362
346,1388,381,323,0,3,63,364
347,320,755,936,0,4,147,44
348,570,392,311,4,4,62,163
349,2589,520,2,3,3,53,43
350,447,884,426,2,4,312,293
351,599,795,794,1,1,62,248
352,3720,95,653,2,1,83,121
353,4359,394,817,5,4,55,112
354,540,707,130,5,4,22,265
355,2551,577,178,3,3,174,114
356,790,135,654,2,2,111,116
357,2698,144,75,0,4,289,169
358,327,209,204,4,1,267,121
359,0,344,124,3,3,479,62
360,3763,597,32,3,4,346,208
361,127,18,528,2,1,365,170
362,1506,451,425,6,1,407,37
363,2051,864,500,1,2,147,357
364,437,585,463,5,3,172,35
365,2390,477,69,0,3,418,56
366,798,378,583,4,2,396,35
367,2043,839,889,5,2,120,32
368,2232,848,73,0,3,111,167
369,2902,690,690,3,3,26,227
370,267,100,827,1,4,277,206
371,659,650,270,3,4,191,65
372,4028,674,814,1,2,381,12
373,3895,764,656,2,4,33,142
374,2775,228,690,0,1,38,36
375,3230,592,114,6,4,180,259
376,1443,851,827,5,4,418,131
377,3354,211,226,3,1,237,278
378,4330,718,623,1,2,387,245
379,983,279,256,1,1,197,242
380,1323,423,257,3,4,355,257
381,585,864,926,5,2,239,107
382,2792,142,366,0,4,330,74
383,1222,973,199,2,1,349,262
384,4183,144,672,2,1,128,46
385,788,347,241,4,4,165,93
386,4252,505,526,4,3,281,20
387,4574,110,617,6,3,184,190
388,1821,403,962,4,1,474,273
389,3099,834,504,6,1,113,164
390,1441,615,361,5,3,101,46
391,4258,716,709,0,3,195,275
392,576,65,41,6,4,469,252
393,1657,660,933,0,4,292,253
394,3660,844,523,4,3,190,26
395,1251,920,741,4,4,179,134
396,3764,761,474,5,4,196,157
397,2752,336,806,4,2,184,232
398,3946,533,880,2,4,231,318
399,1779,360,249,3,1,242,235
400,2412,968,485,2,4,171,181
401,3886,942,131,2,4,430,79
402,1031,556,945,6,3,143,298
403,140,420,420,6,1,400,2
404,827,709,299,1,4,489,211
405,4457,591,473,3,4,233,66
406,489,182,937,2,2,162,162
407,3233,860,240,3,4,42,275
408,4698,529,179,2,4,64,330
409,3090,869,704,5,2,451,17
410,522,65,259,5,3,16,218
411,351,24,668,4,4,253,320
412,2974,727,894,5,2,322,242
413,3658,826,536,3,1,135,240
414,571,244,1,1,3,21,303
415,1108,392,495,4,1,25,255
416,951,765,837,6,1,217,73
417,1045,20,688,2,2,52,224
418,2980,796,285,5,4,382,130
419,1595,24,438,4,2,493,334
420,3768,734,168,5,2,470,208
421,4202,981,876,4,2,144,74
422,4173,146,531,6,2,237,356
423,2543,160,881,3,3,120,352
424,3815,954,157,3,4,316,357
425,633,839,465,2,1,466,360
426,1602,161,4,6,1,169,126
427,495,824,339,0,4,340,79
428,2243,183,860,4,1,273,17
429,2827,593,72,6,4,234,166
430,1966,235,786,0,1,480,176
431,2977,320,76,0,2,226,334
432,4458,729,777,1,1,465,232
433,3831,209,112,3,4,54,324
434,2782,496,69,2,4,223,190
435,1359,492,692,6,4,68,260
436,1626,929,119,6,4,141,74
437,3721,347,430,4,4,113,361
438,2857,666,958,2,3,204,315
439,4939,254,789,3,3,422,264
440,2965,302,291,0,1,498,83
441,4831,168,418,2,4,166,333
442,1562,880,151,4,1,107,14
443,469,197,707,5,4,235,145
444,3369,713,560,1,4,421,102
445,1890,929,847,3,3,214,324
446,3528,526,120,0,3,88,346
447,358,970,894,4,2,133,357
448,1829,361,294,4,3,480,9
449,1321,437,665,6,2,437,178
450,4902,554,529,2,2,227,141
451,4689,210,703,3,2,13,206
452,4420,75,842,5,2,99,344
453,3436,433,345,6,2,113,119
454,3786,572,42,5,1,402,245
455,331,864,69,1,3,128,320
456,4078,651,908,0,2,142,39
457,1001,251,249,1,4,321,113
458,3289,581,395,2,3,105,42
459,3328,730,423,3,3,477,299
460,3190,692,203,5,2,443,335
461,898,391,544,3,1,340,214
462,1188,881,872,6,2,152,312
463,440,174,236,6,1,297,258
464,4859,571,121,2,4,37,251
465,2805,697,620,3,3,287,210
466,2923,878,15,3,4,242,199
467,1738,237,228,3,1,26,348
468,1953,612,429,6,1,68,271
469,3135,517,894,6,4,99,244
470,220,345,687,2,1,208,159
471,868,193,212,2,4,371,47
472,2559,288,664,2,3,450,8
473,4849,338,88,6,4,35,33
474,2337,808,603,5,3,34,57
475,2113,534,295,4,4,403,122
476,651,536,544,0,1,310,169
477,4947,647,892,0,4,348,124
478,3181,342,944,0,1,276,3
479,3268,492,961,3,4,470,310
480,4645,946,192,1,4,190,158
481,2600,869,838,1,2,465,320
482,2098,229,258,4,1,369,357
483,2627,319,707,6,2,77,133
484,4027,337,50,3,1,360,48
485,791,720,534,3,2,421,230
486,1728,122,326,3,3,468,343
487,3715,687,850,2,4,330,64
488,987,338,157,0,1,58,260
489,2721,31,939,5,1,184,333
490,4421,84,27,6,4,61,161
491,478,915,247,2,1,111,58
492,1343,300,768,3,1,225,276
493,138,233,77,6,2,447,342
494,4647,735,632,6,1,197,46
495,683,162,107,6,3,66,38
496,2147,903,152,4,3,56,68
497,4912,832,353,3,4,168,149
498,2266,476,258,3,1,498,322
499,81,653,963,5,4,183,331
500,3346,968,543,3,3,251,334
501,1164,274,430,2,1,291,167
502,1086,869,80,1,1,250,168
503,2288,282,893,5,4,379,114
504,3526,49,831,6,3,14,268
505,769,76,205,0,1,93,227
506,3200,986,806,5,4,317,44
507,4740,210,540,5,3,370,316
508,438,565,769,3,4,468,90
509,2156,389,722,5,2,257,103
510,2596,672,940,0,1,63,1
511,4719,859,504,5,2,170,87
512,4696,713,124,2,3,443,50
513,1700,348,396,4,2,431,227
514,3084,90,516,2,2,420,42
515,1888,78,113,2,3,235,191
516,1526,458,840,4,4,24,153
517,4244,293,446,4,2,233,247
518,3272,958,60,5,4,70,14
519,3445,258,174,2,2,131,49
520,1013,577,558,3,4,286,70
521,3262,97,540,1,3,55,244
522,234,431,353,1,2,462,21
523,2463,207,684,1,3,399,104
524,4890,849,32,2,2,303,43
525,607,983,884,0,3,71,157
526,1137,805,569,4,3,95,290
527,1501,308,529,5,2,455,234
528,4080,443,126,5,2,219,37
529,182,966,245,1,2,87,141
530,1372,771,333,5,1,211,2
531,4378,626,910,3,4,311,195
532,1463,937,250,3,1,406,219
533,3967,130,464,4,1,232,179
534,2536,1,81,5,3,231,210
535,3040,692,897,2,2,12,318
536,3651,582,698,5,4,487,73
537,3420,188,645,2,3,15,112
538,2391,751,817,0,1,102,316
539,3196,944,10,6,2,17,326
540,4767,547,827,1,3,437,225
541,3851,891,366,2,2,244,224
542,3318,104,845,0,3,117,322
543,4801,83,362,6,2,170,318
544,3314,213,444,1,1,218,219
545,2023,861,201,6,4,249,345
546,117,236,712,3,1,340,277
547,3783,5,372,5,4,342,117
548,3248,184,683,6,2,59,118
549,4427,880,756,0,3,20,204
550,3729,130,752,4,1,360,41
551,1166,619,927,5,4,165,174
552,3461,676,303,1,1,79,109
553,4057,247,506,6,4,178,11
554,314,425,535,5,1,281,362
555,830,187,380,4,4,77,141
556,4805,92,303,1,4,364,348
557,4857,841,342,1,2,261,68
558,338,264,97,4,4,57,292
559,400,184,134,5,2,193,141
560,321,392,832,4,4,329,226
561,3801,694,50,2,3,196,293
562,1230,417,360,3,3,99,93
563,256,397,486,4,3,455,190
564,1025,334,365,1,4,341,87
565,2457,933,666,2,2,148,315
566,2230,607,26,3,2,366,68
567,884,388,59,6,4,98,21
568,3001,438,31,6,3,283,132
569,3706,271,331,4,3,28,287
570,3368,652,922,3,2,480,57
571,3880,753,580,6,3,320,94
572,2585,201,66,5,1,367,18
573,4538,189,479,1,2,383,219
574,4124,935,419,4,3,475,11
575,4749,387,475,6,2,163,146
576,375,838,591,1,1,399,101
577,989,233,416,2,2,269,40
578,434,16,155,2,2,117,277
579,574,718,76,3,2,380,234
580,3638,623,124,2,2,294,285
581,2704,265,875,0,1,68,170
582,4261,30,759,2,4,134,99
583,1039,486,856,4,2,363,43
584,1158,590,499,1,2,282,116
585,4349,962,137,6,3,116,152
586,631,483,662,6,2,308,0
587,1856,637,234,0,3,254,280
588,1673,672,607,3,4,345,103
589,3873,66,502,6,1,459,200
590,2128,468,863,2,1,427,360
591,4589,63,511,1,4,256,252
592,128,814,374,6,1,17,42
593,175,994,916,6,4,150,272
594,4911,371,342,5,4,371,232
595,1650,275,278,4,4,17,44
596,4320,177,435,6,1,487,219
597,1229,412,428,6,3,361,138
598,3050,49,887,2,4,493,233
599,712,984,717,2,2,103,193
600,3282,608,337,2,1,330,87
601,4794,253,529,1,4,436,182
602,3492,697,34,4,4,48,189
603,2173,412,23,6,2,90,333
604,30,829,724,0,3,196,201
605,4648,83,49,0,3,93,101
606,2718,712,308,4,3,97,129
607,3608,592,236,1,4,251,219
608,4887,754,510,3,4,351,197
609,3612,166,11,0,4,102,205
610,3108,755,797,0,1,95,141
611,2736,0,278,4,2,53,126
612,3008,164,414,1,4,146,231
613,1215,465,659,1,2,430,259
614,3384,851,74,2,2,83,312
615,3054,336,574,1,3,45,303
616,3238,408,907,2,1,110,14
617,1072,58,364,6,4,485,113
618,4316,562,665,6,3,165,202
619,3543,954,154,5,3,435,50
620,2318,552,702,1,4,264,168
621,3536,781,965,4,2,180,320
622,3762,920,792,2,3,478,221
623,3142,942,62,5,2,225,351
624,3542,610,30,3,1,179,63
625,878,294,763,3,2,261,54
626,2504,451,24,3,1,369,233
627,84,351,420,2,2,331,238
628,4333,515,64,1,3,64,139
629,3124,986,390,2,3,465,207
630,2656,405,792,3,1,441,186
631,3663,350,337,1,4,100,312
632,2418,664,390,5,1,287,151
633,3958,964,631,3,1,110,4
634,2344,726,130,4,2,164,268
635,419,897,501,1,2,386,237
636,1206,339,338,2,1,358,272
637,4032,563,714,6,3,460,307
638,3362,956,39,2,2,373,278
639,3285,611,728,4,4,150,264
640,219,647,789,0,2,182,65
641,1877,795,563,2,2,19,26
642,4855,487,281,6,4,237,260
643,149,351,24,6,1,274,69
644,466,477,385,6,4,447,183
645,767,600,417,4,1,257,216
646,4769,473,556,3,1,256,274
647,3410,699,694,3,1,164,327
648,3322,410,91,2,4,43,250
649,4705,157,662,1,1,138,223
650,1763,198,45,0,3,169,301
651,1345,497,48,2,4,98,66
652,4405,349,593,6,3,102,360
653,963,760,823,3,1,336,200
654,2294,241,627,6,2,250,275
655,4014,967,381,1,1,332,262
656,493,479,261,6,3,477,117
657,1993,849,669,4,3,413,126
658,871,426,151,3,4,126,26
659,1749,25,407,4,2,103,137
660,2446,331,843,0,4,172,205
661,1487,723,72,0,3,108,198
662,4352,573,650,5,1,122,301
663,3287,101,74,1,2,368,35
664,654,159,181,3,1,100,112
665,1308,14,280,4,1,355,124
666,4602,218,386,4,2,215,127
667,1944,385,728,4,4,26,231
668,4033,715,875,2,1,283,287
669,799,630,52,2,3,182,310
670,2935,512,40,0,1,125,345
671,2087,894,731,5,2,358,218
672,1830,764,87,6,2,477,50
673,4253,942,70,0,2,190,240
674,4468,231,856,5,4,100,165
675,2443,995,444,0,1,91,233
676,2810,219,499,4,4,333,269
677,3626,764,19,2,4,458,236
678,4264,616,557,0,2,123,177
679,4092,47,580,1,2,266,252
680,2348,317,365,0,4,67,144
681,569,895,871,1,1,163,14
682,3858,871,809,6,3,374,245
683,4443,892,958,4,4,413,233
684,3138,848,871,2,1,125,32
685,1922,603,466,0,2,352,331
686,4436,771,702,1,2,275,243
687,4686,372,387,6,1,324,286
688,2538,1,37,2,3,212,315
689,948,169,478,5,2,50,131
690,4638,488,705,4,2,114,224
691,1882,534,0,0,2,398,187
692,3336,546,678,0,1,387,6
693,2960,82,760,4,4,202,312
694,511,332,896,2,2,410,6
695,3639,869,452,2,4,287,72
696,3192,349,761,0,3,363,192
697,1376,585,261,3,2,246,98
698,635,489,21,0,2,434,33
699,425,877,578,1,3,230,235
700,835,120,819,5,2,77,210
701,695,95,94,6,4,206,193
702,2010,428,710,6,1,265,238
703,2237,492,580,1,4,148,351
704,2972,325,605,3,1,321,41
705,3385,291,278,2,1,444,136
706,1065,521,564,1,4,158,86
707,46,1,697,4,4,108,202
708,3249,216,188,6,4,85,122
709,286,752,350,1,4,291,135
710,1752,888,948,2,3,380,218
711,1708,839,878,0,2,412,259
712,4292,900,836,1,1,118,86
713,624,397,109,3,4,197,140
714,4729,34,432,5,4,208,64
715,1976,325,876,2,4,312,173
716,2961,923,502,4,3,336,122
717,1835,306,478,0,4,163,40
718,2108,552,341,3,4,49,157
719,3512,358,890,2,4,142,118
720,1262,268,493,4,2,414,357
721,167,5,261,4,3,471,264
722,553,670,781,2,4,141,325
723,2365,240,45,0,1,288,318
724,1780,753,713,3,1,371,142
725,2722,964,838,6,1,93,233
726,1555,289,951,0,3,408,350
727,4042,959,540,0,3,251,182
728,1838,924,549,0,1,125,265
729,2916,381,155,0,4,118,77
730,1643,231,896,4,3,230,97
731,1785,543,418,5,1,401,98
732,1483,269,413,3,1,50,200
733,1415,714,377,4,4,377,338
734,2978,341,600,2,2,156,41
735,1280,454,370,2,3,121,280
736,3767,492,333,0,4,112,156
737,3220,443,442,3,1,55,7
738,4996,739,302,4,1,421,201
739,2182,812,930,4,4,484,292
740,573,921,776,6,3,333,185
741,4547,752,478,3,2,387,48
742,1712,122,189,0,2,280,274
743,829,309,223,3,1,492,268
744,3110,977,138,3,3,430,82
745,1435,754,201,5,2,394,276
746,3861,679,109,5,3,204,85
747,3959,508,280,0,3,376,347
748,3546,344,645,5,1,289,47
749,2532,765,386,2,2,292,45
750,610,649,417,5,4,49,293
751,1739,983,250,5,1,456,94
752,4065,994,518,5,2,198,33
753,3293,378,421,4,2,173,59
754,4391,440,790,1,2,491,163
755,291,269,209,5,2,486,10
756,1390,240,69,3,2,33,8
757,3916,182,678,6,3,33,176
758,3096,833,491,5,1,499,221
759,4858,845,917,6,3,13,287
760,2090,420,888,6,4,332,35
761,1937,330,916,1,2,299,233
762,276,574,612,0,1,450,275
763,356,738,380,6,2,442,201
764,702,411,48,0,1,480,29
765,4243,462,276,2,3,190,28
766,3288,677,260,2,1,257,165
767,4905,90,587,5,4,125,95
768,1591,609,327,3,4,288,345
769,1371,568,129,6,1,374,342
770,1364,377,913,6,1,78,95
771,1029,83,638,3,1,360,49
772,1254,814,302,4,1,263,130
773,4451,971,123,3,4,190,10
774,2937,235,942,4,2,327,353
775,4812,400,524,4,1,178,32
776,1043,759,356,3,1,322,252
777,1903,746,33,3,4,258,288
778,512,633,850,4,4,197,321
779,2044,201,191,2,3,63,21
780,1315,201,96,5,1,335,356
781,4930,572,641,2,3,366,244
782,2908,968,535,0,4,322,154
783,3981,521,162,3,4,147,68
784,4365,150,302,1,2,177,217
785,3075,830,396,3,1,400,204
786,1710,167,390,4,3,112,235
787,450,139,766,1,4,431,286
788,1457,984,533,1,4,94,210
789,2188,320,175,5,3,326,225
790,532,131,629,0,2,221,93
791,4674,732,42,3,4,12,9
792,1792,584,849,5,1,393,17
793,212,318,680,0,4,188,333
794,3446,71,176,2,1,351,209
795,2932,443,474,1,3,312,92
796,1652,179,700,5,1,461,93
797,3520,878,844,2,3,485,336
798,894,740,126,3,1,341,152
799,3365,716,123,3,3,47,208
800,4249,93,207,4,1,429,193
801,1016,741,448,2,2,248,319
802,294,84,97,2,1,178,66
803,619,651,104,5,1,462,293
804,4301,514,312,0,2,406,72
805,417,769,922,1,4,352,263
806,3954,758,413,0,4,323,242
807,2399,358,756,0,1,315,191
808,3661,721,372,1,2,39,208
809,2269,519,280,4,1,199,347
810,1152,350,439,0,3,366,224
811,1632,19,195,4,3,34,269
812,2107,389,932,4,1,121,154
813,2215,200,589,2,4,420,242
814,2035,641,460,3,4,444,225
815,383,934,336,3,1,215,233
816,5,698,77,5,1,194,45
817,3539,300,302,1,3,391,349
818,595,79,59,1,4,388,270
819,2687,469,47,6,1,56,32
820,4037,551,274,5,3,383,305
821,336,380,692,2,4,237,294
822,3749,926,95,3,2,48,13
823,4303,280,919,4,3,25,346
824,4398,146,390,3,4,31,296
825,4817,765,880,5,4,222,137
826,2120,227,42,3,3,319,60
827,2138,305,844,4,2,158,355
828,959,895,654,6,3,465,102
829,246,786,405,0,4,250,23
830,3381,63,384,0,1,281,302
